,CID,standard_inchi_key,smiles
38,7446712,AJTVQZWUKUPHIP-UHFFFAOYSA-N,"""CC1=CC(=C(C=C1)NC(=O)C2=CC(=C(S2)N3CCOCC3)C4=CC=CC=C4)C"""
39,46933845,WPNGDOZEXVRNMZ-UHFFFAOYSA-N,"""C1CCC(CC1)NC(=O)N2C3C(CO2)CSC4=C3C=C(C=C4)F"""
40,46869265,FKYWSGYMKJUZEP-ZOBUZTSGSA-N,"""C1CNCC2C1C(CC3=C2C=CC(=C3O)O)C4=CC=CC=C4"""
41,10656971,HNDAZSYDBSRFST-UHFFFAOYSA-N,"""CN1CCN(CC1)C2=NC3=CC=CC=C3N=C2"""
42,42601552,LLGDPTDZOVKFDU-XUHJSTDZSA-N,"""CC(C)C(=O)NC1=NC(=CS1)C2=NC3=C(C=CC(=C3Br)OC)C(=C2)OC4CC(N(C4)C(=O)C(C(C)(C)C)NC(=O)OC5CCCC5)C(=O)NC6(CC6C=C)C(=O)O"""
43,44207909,FLGSUSWMWSZVMP-UHFFFAOYSA-N,"""C1CN(CCC1NC(=O)CC2=CC=CC=C2)CCCN3C(=O)COC4=CC=CC=C43"""
44,9948320,ANTKBACNWQHQJE-UHFFFAOYSA-N,"""CCCCC1CCN(CC1)CCCC(=O)C2=CC=CC=C2C"""
45,25147644,OXKRFEWMSWPKKV-GHTZIAJQSA-N,"""C1CN2CCC1C(C2CC3=CN=CC=C3)NC(=O)C4=CC5=CC=CC=C5O4"""
46,49783209,WKWADEWWLCVVLF-UHFFFAOYSA-N,"""CCCCN1CCC(CC1)COC(=O)C2=CC(=C(C3=C2OCCO3)NC)Cl"""
47,49783415,DZZIAERGLDKTBT-UHFFFAOYSA-N,"""CCCCN1CCC(CC1)COC(=O)C2=CC(=C(C=C2)N)OC"""
48,46945444,IUEKKZWRWOFGRT-UHFFFAOYSA-N,"""CCN(CC)C(=O)CC1=C2N=C(C=C(N2N=C1C3=CC=C(C=C3)OCC)C)C"""
49,49783419,WLHFUBIRAHRPHA-UHFFFAOYSA-N,"""CCCCN1CCC(CC1)COC(=O)C2=CC(=C(C3=C2OCCO3)N)F"""
50,46945447,VHENJOBTWCOIPN-UHFFFAOYSA-N,"""CCN(CC)C(=O)CC1=C2N=C(C=C(N2N=C1C3=CC=C(C=C3)OCC#C)C)C"""
51,46930827,XILQKEHRYUALQZ-UHFFFAOYSA-N,"""CCOC(=O)C1=CN=CN1C(C)C2=CC=C(C=C2)C3(N=N3)C(F)(F)F"""
52,46930919,XILQKEHRYUALQZ-SNVBAGLBSA-N,"""CCOC(=O)C1=CN=CN1C(C)C2=CC=C(C=C2)C3(N=N3)C(F)(F)F"""
53,46930920,XILQKEHRYUALQZ-JTQLQIEISA-N,"""CCOC(=O)C1=CN=CN1C(C)C2=CC=C(C=C2)C3(N=N3)C(F)(F)F"""
54,52943305,ORJWZBKFHYBQDC-OAHLLOKOSA-N,"""C1CN2CCC1C(C2)NC(=O)C3=C4C(=CC=C3)OC(=N4)N5CCOCC5"""
55,52947945,ABIDZKZAFOTHFB-GRDNDAEWSA-N,"""CC1COCC(N1C2=NC3=C(C=CC=C3O2)C(=O)NC4CN5CCC4CC5)C"""
56,16727124,QZEXFNKCPOFGAE-QGZVFWFLSA-N,"""COC1=CC=CC=C1C2=NC3=C(C=CC=C3O2)C(=O)NC4CN5CCC4CC5"""
57,24178536,OUENCNZMGZDHGX-CQSZACIVSA-N,"""C1CC1C2=NC3=C(C=CC=C3O2)C(=O)NC4CN5CCC4CC5"""
58,52949185,IMXFSNJHDBFECE-CYBMUJFWSA-N,"""CCNC1=NC2=C(C=CC=C2O1)C(=O)NC3CN4CCC3CC4"""
59,52949186,ZCUBEQCDRQOEAQ-OAHLLOKOSA-N,"""CCN(CC)C1=NC2=C(C=CC=C2O1)C(=O)NC3CN4CCC3CC4"""
60,52941871,PBZNWDCSSPCDNF-OAHLLOKOSA-N,"""CC(C)N(C)C1=NC2=C(C=CC=C2O1)C(=O)NC3CN4CCC3CC4"""
61,52946744,AJOIVAKMJVSBOV-CYBMUJFWSA-N,"""CN(C)C1=NC2=C(C=CC=C2O1)C(=O)NC3CN4CCC3CC4"""
62,52940690,UYMMSSRZDUEJKE-GFCCVEGCSA-N,"""CNC1=NC2=C(C=CC=C2O1)C(=O)NC3CN4CCC3CC4"""
63,52945520,MNODGVITNFISIZ-LLVKDONJSA-N,"""C1CN2CCC1C(C2)NC(=O)C3=C4C(=CC=C3)OC(=N4)N"""
64,52949210,IATGNHOMUXVGCQ-LLVKDONJSA-N,"""C1CN2CCC1C(C2)NC(=O)C3=C4C(=CC(=C3)Cl)OC(=N4)N"""
65,11190823,VWVPNALHKWLANG-UHFFFAOYSA-N,"""CC1=C(SC2=C1C(=O)N(C(=N2)SCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4)N)C"""
66,23155689,MYBMSIDXODXJBU-UHFFFAOYSA-N,"""CC1=CC(=NC2=CC=CC=C12)N3CCN(CC3)CCCSC4=NC5=C(C(=C(S5)C)C)C(=O)N4N"""
67,23155834,SMZVQCAMELNWOP-UHFFFAOYSA-N,"""C1CC2=C(C1)N=C(N(C2=O)N)CCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4"""
68,11328306,LQAYFYWMQKQPPJ-UHFFFAOYSA-N,"""C1CCC2=C(CC1)N=C(N(C2=O)N)CCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4"""
69,23155935,YURHTDCTHANLFV-UHFFFAOYSA-N,"""CC1=C(SC2=C1C(=O)N(C(=N2)SCCCN3CCN(CC3)C4=NC5=C(CCCC5)C=C4)N)C"""
70,23155946,YZHWETPHARDZQM-UHFFFAOYSA-N,"""CC1=C(SC2=C1C(=O)N(C(=N2)SCCCN3CCN(CC3)C4=NC5=CC=CC=C5S4)N)C"""
71,11339853,ZNOMCTSKVJJIMN-UHFFFAOYSA-N,"""C1CC2=C(CC1O)C(=O)N(C(=N2)CCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4)N"""
72,49837652,MLNBDGCWHJVZAI-UHFFFAOYSA-N,"""CC(=O)N1CCC2=C(C1)SC3=C2C(=O)N(C(=N3)CCCCN4CCN(CC4)C5=NC6=CC=CC=C6C=C5)N"""
73,23155950,MPEGWVZSANJAMN-UHFFFAOYSA-N,"""CC1=C(SC2=C1C(=O)N(C(=N2)SCCCN3CCN(CC3)C4=NC5=CC=CC=C5N=C4C6=CC=CC=C6)N)C"""
74,23155990,OHXKHPFEXVDLQZ-UHFFFAOYSA-N,"""C1CCC2=C(C1)C(=O)N=C(N2)CCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4"""
75,23155650,QZHACJCMCCGZRU-UHFFFAOYSA-N,"""CC1=CC(=NC2=CC=CC=C12)N3CCN(CC3)CCCCC4=NC5=C(CCCC5)C(=O)N4N"""
76,23155644,IQKPITCNSNNYNB-UHFFFAOYSA-N,"""CC1=C(SC2=C1C(=O)N(C(=N2)SCCCN3CCN(CC3)C4=NC5=CC=CC=C5C6=CC=CC=C64)N)C"""
77,11752512,JIWMRJSKGUAANW-UHFFFAOYSA-N,"""C1CCC2=C(C1)C3=C(S2)N=C(N(C3=O)N)SCCCN4CCN(CC4)C5=NC6=CC=CC=C6C=C5"""
78,23155963,LZVLTVPNYIRFTB-UHFFFAOYSA-N,"""CC1=CC2=CC=CC=C2N=C1N3CCN(CC3)CCCCC4=NC5=C(CCCC5)C(=O)N4N"""
79,23155840,ZRMKLDGEAIPBEE-UHFFFAOYSA-N,"""CC1=C(C(=NC2=CC=CC=C12)N3CCN(CC3)CCCCC4=NC5=C(CCCC5)C(=O)N4N)C"""
80,23155980,DWCWRMNZCYONIV-UHFFFAOYSA-N,"""CC1=C(SC2=C1C(=O)NC(=N2)SCCCN3CCN(CC3)C4=NC5=CC=CC=C5C=C4)C"""
81,23155976,LLZLRXCVMYYKBH-UHFFFAOYSA-N,"""C1CCC2=C(C1)C3=C(S2)N=C(NC3=O)SCCCN4CCN(CC4)C5=NC6=CC=CC=C6C=C5"""
