Compound ID,Uniprot ID,Compound Name,Standard inchi key,Max Phase,Target Pref Name,Gene Names,Target Class,Wild type or mutant,Mutation information,PubMed ID,End Point Standard Type,End Point Standard Relation,End Point Standard Value,End Point Standard Units,Endpoint Mode of Action,Assay Format,Assay Type,Assay Sub Type,Inhibitor Type,Detection Technology,Compound concentration value,Compound concentration value units,Substrate type,Substrate Type Standard Relation,Substrate Type Standard Value,Substrate Type Standard Units,Assay cell line,Assay Description,Activity Comments,Title,Journal,Year,Volume,Issue,Authors,Annotation Comments,Assay ID,DTC Tid,DTC Activity ID,DTC Molregno,Record ID,DTC Document ID
CHEMBL1016,P20309,CANDESARTAN,HTQMVQVXFRQIKW-UHFFFAOYSA-N,3,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,IC50,,,,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7270400,DTCC00228418,413969,46191
CHEMBL1016,P20309,CANDESARTAN,HTQMVQVXFRQIKW-UHFFFAOYSA-N,3,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,KI,,,,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7270401,DTCC00228418,413969,46191
CHEMBL101740,P20309,CIDOXEPIN,ODQWQRRAPPTVAG-BOPFTXTBSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,8100134,KI,=,52,NM,,,,,,,,,,,,,,,,,,,,,,,,DTCT0023280,14758918,DTCC00106776,2107070,68567
CHEMBL101740,P20309,CIDOXEPIN,ODQWQRRAPPTVAG-BOPFTXTBSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,8100134,KI,=,52,NM,,,,,,,,,,,,,,,,,,,,,,,,DTCT0023280,14759567,DTCC00106776,2107070,68567
CHEMBL1020,P20309,TOLMETIN,UPSPUYADGBWSHF-UHFFFAOYSA-N,4,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,IC50,,,,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7472719,DTCC00229841,477924,46191
CHEMBL1020,P20309,TOLMETIN,UPSPUYADGBWSHF-UHFFFAOYSA-N,4,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,KI,,,,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7472720,DTCC00229841,477924,46191
CHEMBL1024,P20309,IFOSFAMIDE,HOMGKSMUEGBAAB-UHFFFAOYSA-N,4,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,IC50,,,,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7308701,DTCC00230672,703982,46191
CHEMBL1024,P20309,IFOSFAMIDE,HOMGKSMUEGBAAB-UHFFFAOYSA-N,4,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,,KI,,,,,,,,,,,,,,,,CHO-K1,DRUGMATRIX: Muscarinic M3 radioligand binding (ligand: [3H] N-Methylscopolamine),Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),DrugMatrix in vitro pharmacology data,,,,,"Scott S. Auerbach, DrugMatrix¨ and ToxFX¨ Coordinator National Toxicology Program",,774651,DTCT0023280,7308702,DTCC00230672,703982,46191
CHEMBL10272,P20309,BENZETIMIDE,LQQIVYSCPWCSSD-UHFFFAOYSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,18922694,IC50,<,1,NM,,,,,,,,,,,,,,Binding affinity to human muscarinic M3 receptor,,Synthesis and structure-activity relationship of benzetimide derivatives as human CXCR3 antagonists.,Bioorg. Med. Chem. Lett.,2008,18,21,"Bongartz JP, Buntinx M, Coesemans E, Hermans B, Lommen GV, Wauwe JV",,496615,DTCT0023280,2455668,DTCC00137829,726896,31823
CHEMBL10272,P20309,BENZETIMIDE,LQQIVYSCPWCSSD-UHFFFAOYSA-N,0,MUSCARINIC ACETYLCHOLINE RECEPTOR M3,CHRM3,GPCR,,,18922694,IC50,>,10000,NM,,,,,,,,,,,,,,Binding affinity to human muscarinic M3 receptor,,Synthesis and structure-activity relationship of benzetimide derivatives as human CXCR3 antagonists.,Bioorg. Med. Chem. Lett.,2008,18,21,"Bongartz JP, Buntinx M, Coesemans E, Hermans B, Lommen GV, Wauwe JV",,496615,DTCT0023280,2455667,DTCC00137829,726895,31823
